Acetone (CH3COCH3) temerpature dependent absorption cross sections 												
												
IUPAC 2005 Recommendation												
http://www.iupac-kinetic.ch.cam.ac.uk												

based on:												
Gierczak, T., Burkholder, J. B., Bauerle, S. and Ravishankara, A. R., Chem. Phys. 231, 229, 1998.												

T dependent parameterisation from expression derived by Burkholder 
(as cited in the NASA Evaluation No 15, 2005), obtained by using a cubic fit to the data of Gierczak et al. (1998)												

SIG(LAM, T) = SIG(LAM, 298K)*[1 + A(LAM)*T + (B(LAM)*(T**2)) + (C(LAM)*(T**3))]

LAM (nm)	sig (298) (cm2)	A (K-1)	B (K-2)	C (K-3)
316	7.6E-21	-0.009409	0.00005528	-8.076E-08
317	6.84E-21	-0.009584	0.00005588	-8.085E-08
318	5.98E-21	-0.009736	0.00005596	-7.946E-08
319	5.23E-21	-0.01039	0.00005958	-8.433E-08
320	4.55E-21	-0.0118	0.00006869	-9.933E-08
321	4.11E-21	-0.01348	0.00007962	-1.175E-07
322	3.48E-21	-0.01459	0.000086	-1.267E-07
323	2.94E-21	-0.01498	0.0000867	-1.247E-07
324	2.48E-21	-0.01539	0.00008743	-1.227E-07
325	2.1E-21	-0.01628	0.00009187	-1.277E-07
326	1.74E-21	-0.01709	0.00009588	-1.321E-07
327	1.41E-21	-0.01721	0.00009471	-1.268E-07
328	1.13E-21	-0.01692	0.00009048	-1.158E-07
329	9.13E-22	-0.01666	0.00008672	-1.062E-07
330	7.4E-22	-0.01594	0.00007979	-9.099E-08
331	5.86E-22	-0.01393	0.0000634	-5.829E-08
332	4.65E-22	-0.01093	0.00003969	-1.214E-08
333	3.75E-22	-0.008186	0.00001847	2.84E-08
334	3.11E-22	-0.00653	0.000006289	5.067E-08
335	2.48E-22	-0.005692	0.000001022	5.88E-08
336	1.99E-22	-0.004656	-0.000005382	6.86E-08
337	1.62E-22	-0.00209	-0.00002355	1.009E-07
338	1.35E-22	0.003113	-0.00006237	1.733E-07
339	1.13E-22	0.01101	-0.0001226	2.877E-07
340	9.12E-23	0.02002	-0.0001922	4.215E-07
341	7.29E-23	0.0272	-0.0002483	5.303E-07
342	5.83E-23	0.02963	-0.000268	5.696E-07
343	4.94E-23	0.02597	-0.0002404	5.178E-07
344	3.65E-23	0.01635	-0.0001663	3.755E-07
345	3.01E-23	0.003774	-0.00006858	1.872E-07
346	2.35E-23	-0.002414	-0.00001987	9.304E-08
347	1.58E-23	0.00788	-0.00009888	2.453E-07
348	1.11E-23	0.02952	-0.0002661	5.678E-07
349	1.07E-23	0.04103	-0.0003551	7.395E-07
