540,4.97E+14,
541,4.97E+14,
542,5.08E+14,
543,5.08E+14,
544,5.08E+14,
545,5.01E+14,
546,5.11E+14,
547,5.08E+14,
548,5.11E+14,
549,5.11E+14,
550,5.11E+14,
551,5.15E+14,
552,5.15E+14,
553,5.15E+14,
554,5.15E+14,
555,5.25E+14,
556,5.22E+14,
557,5.22E+14,
558,5.25E+14,
559,5.22E+14,
560,5.22E+14,
561,5.25E+14,
562,5.25E+14,
563,5.25E+14,
564,5.25E+14,
565,5.29E+14,
566,5.29E+14,
567,5.29E+14,
568,5.29E+14,
569,5.29E+14,
570,5.29E+14,
571,5.36E+14,
572,5.29E+14,
573,5.39E+14,
574,5.36E+14,
575,5.39E+14,
576,5.39E+14,
577,5.39E+14,
578,5.39E+14,
579,5.43E+14,
580,5.39E+14,
581,5.39E+14,
582,5.39E+14,
583,5.43E+14,
584,5.39E+14,
585,5.39E+14,
586,5.50E+14,
587,5.43E+14,
588,5.50E+14,
589,5.50E+14,
590,5.50E+14,
591,5.39E+14,
592,5.50E+14,
593,5.43E+14,
594,5.39E+14,
595,5.43E+14,
596,5.39E+14,
597,5.50E+14,
598,5.43E+14,
599,5.43E+14,
600,5.50E+14,
601,5.43E+14,
602,5.50E+14,
603,5.53E+14,
604,5.50E+14,
605,5.53E+14,
606,5.50E+14,
607,5.53E+14,
608,5.53E+14,
609,5.53E+14,
610,5.53E+14,
611,5.53E+14,
612,5.53E+14,
613,5.53E+14,
614,5.57E+14,
615,5.64E+14,
616,5.64E+14,
617,5.64E+14,
618,5.64E+14,
619,5.64E+14,
620,5.64E+14,
621,5.67E+14,
622,5.64E+14,
623,5.67E+14,
624,5.67E+14,
625,5.64E+14,
626,5.57E+14,
627,5.64E+14,
628,5.64E+14,
629,5.64E+14,
630,5.67E+14,
631,5.67E+14,
632,5.67E+14,
633,5.67E+14,
634,5.64E+14,
635,5.64E+14,
636,5.67E+14,
637,5.64E+14,
638,5.64E+14,
639,5.64E+14,
640,5.64E+14,
641,5.64E+14,
642,5.64E+14,
643,5.64E+14,
644,5.67E+14,
645,5.64E+14,
646,5.67E+14,
647,5.67E+14,
648,5.71E+14,
649,5.71E+14,
650,5.71E+14,
651,5.67E+14,
652,5.67E+14,
653,5.67E+14,
654,5.64E+14,
655,5.67E+14,
656,5.57E+14,
657,5.64E+14,
658,5.57E+14,
659,5.57E+14,
660,5.57E+14,
661,5.64E+14,
662,5.64E+14,
663,5.64E+14,
664,5.57E+14,
665,5.64E+14,
666,5.57E+14,
667,5.67E+14,
668,5.67E+14,
669,5.67E+14,
670,5.67E+14,
671,5.64E+14,
672,5.57E+14,
673,5.64E+14,
674,5.67E+14,
675,5.64E+14,
676,5.64E+14,
677,5.57E+14,
678,5.64E+14,
679,5.57E+14,
