201   1.0   # Li+
202   1.0   # Na+
203   1.0   # K+
204   1.0   # NH4+
205   1.0   # H+

221   2.0   # Ca2+
222   2.0   # Ba2+
223   2.0   # Mg2+
224   2.0   # Sr2+
225   2.0   # Co2+
226   2.0   # Ni2+
227   2.0   # Cu2+
228   2.0   # Zn2+
229   2.0   # Hg2+

241  -1.0   # F-
242  -1.0   # Cl-
243  -1.0   # Br-
244  -1.0   # I-
245  -1.0   # NO3-
246  -1.0   # CH3COO-
247  -1.0   # SCN-
248  -1.0   # HSO4-

261  -2.0   # SO4--
